GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NAME,PTS
22500092,1610612761,TOR,,,116.0
22500090,1610612753,ORL,,,107.0
22500018,1610612752,NYK,,,105.0
22500091,1610612751,BKN,,,124.0
22500093,1610612745,HOU,,,111.0
22500094,1610612763,MEM,,,114.0
22500095,1610612740,NOP,,,116.0
22500096,1610612742,DAL,,,107.0
22500019,1610612747,LAL,,,128.0
22500097,1610612757,POR,,,139.0
22500098,1610612758,SAC,,,105.0
22500099,1610612746,LAC,,,129.0
22500092,1610612749,MIL,,,122.0
22500090,1610612737,ATL,,,111.0
22500018,1610612738,BOS,,,95.0
22500091,1610612739,CLE,,,131.0
22500093,1610612765,DET,,,115.0
22500094,1610612748,MIA,,,146.0
22500095,1610612759,SAS,,,120.0
22500096,1610612764,WAS,,,117.0
22500019,1610612750,MIN,,,110.0
22500097,1610612744,GSW,,,119.0
22500098,1610612762,UTA,,,104.0
22500099,1610612756,PHX,,,102.0
22500100,1610612753,ORL,,,98.0
22500101,1610612737,ATL,,,100.0
22500102,1610612755,PHI,,,125.0
22500100,1610612741,CHI,,,110.0
22500101,1610612760,OKC,,,117.0
22500102,1610612766,CHA,,,121.0
22500103,1610612763,MEM,,,128.0
22500104,1610612743,DEN,,,133.0
22500103,1610612754,IND,,,103.0
22500104,1610612756,PHX,,,111.0
22500105,1610612759,SAS,,,118.0
22500106,1610612765,DET,,,119.0
22500107,1610612739,CLE,,,118.0
22500108,1610612748,MIA,,,115.0
22500109,1610612764,WAS,,,113.0
22500110,1610612750,MIN,,,114.0
22500111,1610612742,DAL,,,139.0
22500105,1610612751,BKN,,,107.0
22500106,1610612738,BOS,,,113.0
22500107,1610612749,MIL,,,113.0
22500108,1610612752,NYK,,,107.0
22500109,1610612766,CHA,,,139.0
22500110,1610612754,IND,,,110.0
22500111,1610612761,TOR,,,129.0
22500112,1610612746,LAC,,,114.0
22500113,1610612758,SAC,,,120.0
22500112,1610612757,POR,,,107.0
22500113,1610612747,LAL,,,127.0
22500007,1610612765,DET,,,95.0
22500114,1610612755,PHI,,,136.0
22500007,1610612739,CLE,,,116.0
22500114,1610612753,ORL,,,124.0
22500115,1610612741,CHI,,,128.0
22500116,1610612745,HOU,,,137.0
22500117,1610612740,NOP,,,90.0
22500118,1610612759,SAS,,,121.0
22500119,1610612742,DAL,,,94.0
22500120,1610612762,UTA,,,138.0
22500008,1610612750,MIN,,,114.0
22500121,1610612744,GSW,,,131.0
22500122,1610612747,LAL,,,108.0
22500115,1610612737,ATL,,,123.0
22500116,1610612751,BKN,,,109.0
22500117,1610612738,BOS,,,122.0
22500118,1610612761,TOR,,,103.0
22500119,1610612760,OKC,,,101.0
22500120,1610612756,PHX,,,134.0
22500008,1610612743,DEN,,,127.0
22500121,1610612763,MEM,,,118.0
22500122,1610612757,POR,,,122.0
22500123,1610612764,WAS,,,134.0
22500124,1610612748,MIA,,,144.0
22500123,1610612755,PHI,,,139.0
22500124,1610612766,CHA,,,117.0
22500125,1610612749,MIL,,,121.0
22500126,1610612760,OKC,,,107.0
22500127,1610612744,GSW,,,98.0
22500125,1610612752,NYK,,,111.0
22500126,1610612758,SAC,,,101.0
22500127,1610612746,LAC,,,79.0
22500131,1610612761,TOR,,,121.0
22500128,1610612738,BOS,,,125.0
22500129,1610612765,DET,,,135.0
22500130,1610612751,BKN,,,112.0
22500131,1610612745,HOU,,,139.0
22500128,1610612739,CLE,,,105.0
22500129,1610612753,ORL,,,116.0
22500130,1610612737,ATL,,,117.0
22500132,1610612741,CHI,,,126.0
22500133,1610612742,DAL,,,107.0
22500134,1610612743,DEN,,,122.0
22500135,1610612762,UTA,,,134.0
